id,from,to,req,status
1,4,1,0,Scheduled
2,9,3,61.5,Scheduled
3,2,10,123,Scheduled
4,11,4,183,Scheduled
5,1,5,244.5,Scheduled
6,7,12,306,Scheduled
7,3,8,367.5,Scheduled
8,5,9,429,Scheduled
9,10,6,490.5,Scheduled
10,2,4,550.5,Scheduled
11,12,7,612,Scheduled
12,1,11,673.5,Scheduled
13,6,2,735,Scheduled
14,4,10,796.5,Scheduled
15,7,3,856.5,Scheduled
16,3,5,918,Scheduled
17,2,12,979.5,Scheduled
18,9,1,1041,Scheduled
19,5,11,1102.5,Scheduled
20,1,6,1164,Scheduled
21,6,7,1224,Scheduled
22,10,1,1285.5,Scheduled
23,7,4,1347,Scheduled
24,4,2,1408.5,Scheduled
25,8,5,1470,Scheduled
26,2,9,1530,Scheduled
27,5,12,1591.5,Scheduled
28,11,3,1653,Scheduled
29,6,1,1714.5,Scheduled
30,3,10,1776,Scheduled
31,8,3,1836,Scheduled
32,12,2,1897.5,Scheduled
33,8,7,1959,Scheduled
34,12,10,2020.5,Scheduled
35,9,2,2082,Scheduled
36,10,2,2143.5,Scheduled
37,11,9,2203.5,Scheduled
38,9,6,2265,Scheduled
39,10,8,2326.5,Scheduled
40,11,6,2388,Scheduled
41,1,8,2449.5,Scheduled
42,3,11,2509.5,Scheduled
43,4,9,2571,Scheduled
44,5,4,2632.5,Scheduled
45,6,8,2694,Scheduled
46,7,5,2755.5,Scheduled
47,8,12,2817,Scheduled
48,12,11,2877,Scheduled
49,1,7,2938.5,Scheduled
50,7,8,3000,Scheduled
